"id","student_id","course_id","course_schedule_id","admission_date","amount","discount","payment_status","payment_id","next_payment_date","status","created_at","updated_at"
"165","165","134","184","2023-02-13","0.00","0.00","pending","165","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"166","166","126","176","2023-02-14","0.00","0.00","pending","166","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"167","167","120","170","2023-02-14","0.00","0.00","pending","167","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"168","168","86","136","2023-02-14","0.00","0.00","pending","168","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"169","169","136","186","0000-00-00","0.00","0.00","pending","169","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"170","170","117","167","0000-00-00","0.00","0.00","pending","170","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"171","171","134","184","2023-02-15","0.00","0.00","pending","171","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"172","172","137","187","2023-02-16","0.00","0.00","pending","172","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"173","173","87","137","2023-02-20","0.00","0.00","pending","173","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"174","174","146","196","2023-02-22","0.00","0.00","pending","174","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"175","175","149","199","2023-02-22","0.00","0.00","pending","175","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"176","176","149","199","2023-02-22","0.00","0.00","pending","176","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"177","177","149","199","2023-02-22","0.00","0.00","pending","177","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"178","178","136","186","2023-02-24","0.00","0.00","pending","178","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"179","179","139","189","2023-02-24","0.00","0.00","pending","179","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"180","180","142","192","2023-02-25","0.00","0.00","pending","180","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"181","181","136","186","2023-02-27","0.00","0.00","pending","181","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"182","182","136","186","2023-02-28","0.00","0.00","pending","182","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"183","183","134","184","2023-03-03","0.00","0.00","pending","183","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"184","184","148","198","2023-03-04","0.00","0.00","pending","184","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"185","185","142","192","2023-03-06","0.00","0.00","pending","185","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"186","186","142","192","2023-03-06","0.00","0.00","pending","186","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"187","187","125","175","2023-03-08","0.00","0.00","pending","187","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"188","188","150","200","2023-03-09","0.00","0.00","pending","188","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"189","189","127","177","0000-00-00","0.00","0.00","pending","189","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"190","190","134","184","2023-03-10","0.00","0.00","pending","190","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"191","191","135","185","0000-00-00","0.00","0.00","pending","191","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"192","192","136","186","2023-03-13","0.00","0.00","pending","192","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"193","193","134","184","2023-03-14","0.00","0.00","pending","193","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"194","194","120","170","2023-03-15","0.00","0.00","pending","194","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
"195","195","88","138","2023-03-18","0.00","0.00","pending","195","2024-10-01","active","2024-10-02 03:50:11","2024-10-02 03:51:04"
